id,item,name,error,gold,prediction,gold_evidence,predicted_evidence
PPS-DEV-01,v1,참가자격 특정기관 제한,FN,1,0,"라. 본 용역은 「고등교육법」 제2조에 따른 대학 또는 「산업교육진흥
및 산학연협력촉진에 관한 법률」 제25조에 따른 산학협력단만 참여 가능함",
PPS-DEV-046,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-049,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-063,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-072,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-03,v2,고시금액 미만 실적제한,FN,1,0,나. 공고일 기준 5년 이내 공공디자인 용역 실적이 3천만원 이상인 업체,
PPS-DEV-04,v2,고시금액 미만 실적제한,FP,0,1,,
PPS-DEV-05,v2,고시금액 미만 실적제한,FP,0,1,,② 공고일 전일부터 기산하여 최근 7년간 지표·시굴·정밀발굴을 포함한 매장유산 조사업무를 수행하고 그 준공금액이 단일 용역으로 5억원 이상인 실적을 보유한 자
PPS-DEV-06,v2,고시금액 미만 실적제한,FP,0,1,,최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체
PPS-DEV-25,v2,고시금액 미만 실적제한,FP,0,1,,
PPS-DEV-051,v2,고시금액 미만 실적제한,FP,0,1,,③ 최근 5년 이내 이동형X선 투시장치(C-ARM) 장비 3억원 이상 대학병원에 납품한 실적이 있는 업체
PPS-DEV-053,v2,고시금액 미만 실적제한,FN,1,0,④ 입찰공고일 기준 최근 3년 이내에 단일건으로 1억 원 이상 [수요기관(공공기관)]에서 발주한 유사사업 및 동등이상 관련 사업 등을 실적이 있는 업체(하도급 제외) ※ 실적증명이 가능하고 공고일 현재 용역이 완료된 것,
PPS-DEV-059,v2,고시금액 미만 실적제한,FP,0,1,,"공고일 기준 최근 3년 이내 공공기관(국가,지자체,공기업 포함) 통근버스 운행 실적이 2억원 이상 있는 업체만 참가 자격이 있습니다."
PPS-DEV-063,v2,고시금액 미만 실적제한,FP,0,1,,다. 국가종합전자조달시스템(G2B) 입찰참가자격등록규정에 따라 입찰서 제출 마감일 전일까지 「경비업법」 제4조에 따른 시설경비업(업종코드 1164)을 등록하고 50명 이상의 보안인력을 보유한 업체
PPS-DEV-069,v2,고시금액 미만 실적제한,FN,1,0,○ | 최근 10년 이내 동종업종 실적 5천만원 이상 보유한 업체 |,
PPS-DEV-071,v2,고시금액 미만 실적제한,FP,0,1,,공고일 전일 기준 최근 10년 이내 국가 및 지자체 등 공공기관 또는 민간단체에서 발주하여 완료된 단일 행사 기준 5억원 이상 실적이 있는 업체이어야 합니다.
PPS-DEV-078,v2,고시금액 미만 실적제한,FN,1,0,"바. 최근 10년 이내 50,000,000원(VAT별도) 이상 디자인서비스 용역 수행 실적이 있는 자",
